exp_num,welfare_module,carbon_budget,disutility_damage_factor,COACCH_damage_quantile,prtp,damage_scale_factor
123,inequal_aversion_elasmu_disutil,False,3,0.5,0.015,3
124,inequal_aversion_elasmu_disutil,False,3,0.5,0.03,1
125,inequal_aversion_elasmu_disutil,False,3,0.5,0.03,2
126,inequal_aversion_elasmu_disutil,False,3,0.5,0.03,3
127,inequal_aversion_elasmu_disutil,False,3,0.95,0.001,1
128,inequal_aversion_elasmu_disutil,False,3,0.95,0.001,2
129,inequal_aversion_elasmu_disutil,False,3,0.95,0.001,3
130,inequal_aversion_elasmu_disutil,False,3,0.95,0.015,1
131,inequal_aversion_elasmu_disutil,False,3,0.95,0.015,2
132,inequal_aversion_elasmu_disutil,False,3,0.95,0.015,3
133,inequal_aversion_elasmu_disutil,False,3,0.95,0.03,1
134,inequal_aversion_elasmu_disutil,False,3,0.95,0.03,2
135,inequal_aversion_elasmu_disutil,False,3,0.95,0.03,3
136,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.05,0.001,1
137,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.05,0.001,2
138,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.05,0.001,3
139,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.05,0.015,1
140,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.05,0.015,2
141,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.05,0.015,3
142,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.05,0.03,1
143,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.05,0.03,2
144,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.05,0.03,3
145,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.5,0.001,1
146,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.5,0.001,2
147,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.5,0.001,3
148,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.5,0.015,1
149,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.5,0.015,2
150,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.5,0.015,3
151,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.5,0.03,1
152,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.5,0.03,2
153,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.5,0.03,3
154,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.95,0.001,1
155,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.95,0.001,2
156,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.95,0.001,3
157,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.95,0.015,1
158,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.95,0.015,2
159,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.95,0.015,3
160,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.95,0.03,1
161,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.95,0.03,2
162,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.95,0.03,3
163,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.05,0.001,1
164,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.05,0.001,2
165,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.05,0.001,3
166,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.05,0.015,1
167,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.05,0.015,2
168,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.05,0.015,3
169,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.05,0.03,1
170,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.05,0.03,2
171,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.05,0.03,3
172,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.5,0.001,1
173,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.5,0.001,2
174,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.5,0.001,3
175,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.5,0.015,1
176,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.5,0.015,2
177,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.5,0.015,3
178,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.5,0.03,1
179,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.5,0.03,2
180,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.5,0.03,3
181,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.95,0.001,1
182,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.95,0.001,2
183,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.95,0.001,3
184,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.95,0.015,1
185,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.95,0.015,2
186,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.95,0.015,3
187,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.95,0.03,1
188,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.95,0.03,2
189,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.95,0.03,3
190,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.05,0.001,1
191,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.05,0.001,2
192,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.05,0.001,3
193,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.05,0.015,1
194,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.05,0.015,2
195,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.05,0.015,3
196,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.05,0.03,1
197,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.05,0.03,2
198,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.05,0.03,3
199,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.5,0.001,1
200,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.5,0.001,2
201,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.5,0.001,3
202,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.5,0.015,1
203,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.5,0.015,2
204,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.5,0.015,3
205,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.5,0.03,1
206,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.5,0.03,2
207,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.5,0.03,3
208,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.95,0.001,1
209,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.95,0.001,2
210,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.95,0.001,3
211,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.95,0.015,1
212,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.95,0.015,2
213,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.95,0.015,3
214,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.95,0.03,1
215,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.95,0.03,2
216,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.95,0.03,3
217,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.001,1
218,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.001,2
219,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.001,3
220,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.015,1
221,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.015,2
222,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.015,3
223,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.03,1
224,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.03,2
225,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.03,3
226,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.001,1
227,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.001,2
228,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.001,3
229,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.015,1
230,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.015,2
231,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.015,3
232,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.03,1
233,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.03,2
234,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.03,3
235,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.001,1
236,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.001,2
237,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.001,3
238,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.015,1
239,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.015,2
240,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.015,3
241,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.03,1
242,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.03,2
243,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.03,3
