exp_num,welfare_module,carbon_budget,disutility_damage_factor,COACCH_damage_quantile,prtp
138,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.05,0.001
139,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.05,0.015
140,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.05,0.015
141,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.05,0.015
142,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.05,0.03
143,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.05,0.03
144,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.05,0.03
145,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.5,0.001
146,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.5,0.001
147,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.5,0.001
148,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.5,0.015
149,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.5,0.015
150,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.5,0.015
151,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.5,0.03
152,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.5,0.03
153,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.5,0.03
154,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.95,0.001
155,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.95,0.001
156,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.95,0.001
157,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.95,0.015
158,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.95,0.015
159,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.95,0.015
160,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.95,0.03
161,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.95,0.03
162,inequal_aversion_elasmu_disutil,633.829 GtCO2,2,0.95,0.03
163,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.05,0.001
164,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.05,0.001
165,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.05,0.001
166,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.05,0.015
167,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.05,0.015
168,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.05,0.015
169,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.05,0.03
170,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.05,0.03
171,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.05,0.03
172,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.5,0.001
173,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.5,0.001
174,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.5,0.001
175,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.5,0.015
176,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.5,0.015
177,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.5,0.015
178,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.5,0.03
179,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.5,0.03
180,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.5,0.03
181,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.95,0.001
182,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.95,0.001
183,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.95,0.001
184,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.95,0.015
185,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.95,0.015
186,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.95,0.015
187,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.95,0.03
188,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.95,0.03
189,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.95,0.03
190,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.05,0.001
191,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.05,0.001
192,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.05,0.001
193,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.05,0.015
194,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.05,0.015
195,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.05,0.015
196,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.05,0.03
197,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.05,0.03
198,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.05,0.03
199,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.5,0.001
200,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.5,0.001
201,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.5,0.001
202,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.5,0.015
203,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.5,0.015
204,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.5,0.015
205,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.5,0.03
206,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.5,0.03
207,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.5,0.03
208,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.95,0.001
209,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.95,0.001
210,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.95,0.001
211,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.95,0.015
212,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.95,0.015
213,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.95,0.015
214,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.95,0.03
215,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.95,0.03
216,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.95,0.03
217,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.001
218,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.001
219,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.001
220,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.015
221,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.015
222,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.015
223,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.03
224,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.03
225,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.03
226,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.001
227,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.001
228,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.001
229,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.015
230,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.015
231,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.015
232,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.03
233,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.03
234,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.03
235,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.001
236,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.001
237,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.001
238,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.015
239,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.015
240,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.015
241,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.03
242,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.03
243,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.03
