exp_num,welfare_module,carbon_budget,disutility_damage_factor,COACCH_damage_quantile,prtp
144,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.5,0.03
145,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.75,0.01
146,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.75,0.015
147,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.75,0.03
148,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.95,0.01
149,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.95,0.015
150,inequal_aversion_elasmu_disutil,633.829 GtCO2,3,0.95,0.03
151,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.05,0.01
152,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.05,0.015
153,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.05,0.03
154,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.25,0.01
155,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.25,0.015
156,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.25,0.03
157,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.5,0.01
158,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.5,0.015
159,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.5,0.03
160,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.75,0.01
161,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.75,0.015
162,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.75,0.03
163,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.95,0.01
164,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.95,0.015
165,inequal_aversion_elasmu_disutil,1344 GtCO2,2,0.95,0.03
166,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.01
167,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.015
168,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.03
169,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.25,0.01
170,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.25,0.015
171,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.25,0.03
172,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.01
173,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.015
174,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.03
175,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.75,0.01
176,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.75,0.015
177,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.75,0.03
178,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.01
179,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.015
180,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.03
